Disease Name,Disease Definition
17q12 duplication,"17q12 duplication is a chromosomal change in which a small piece of chromosome 17 is copied (duplicated) abnormally in each cell. The duplication occurs on the long (q) arm of the chromosome at a position designated q12.Signs and symptoms related to 17q12 duplications vary significantly, even among members of the same family. Some individuals with the duplication have no apparent signs or symptoms, or the features are very mild. Other individuals can have intellectual disability, delayed development, and a wide range of physical abnormalities.Intellectual and learning ability in people with 17q12 duplications ranges from normal to severely impaired. Many affected individuals have delayed development, particularly involving speech and language skills and gross motor skills such sitting, standing, and walking. Seizures are also common. Neurodevelopmental and psychiatric conditions that have been reported in people with 17q12 duplications include autism spectrum disorder (which affects social interaction and communication), schizophrenia, aggression, and self-injury. About half of affected individuals have an unusually small head (microcephaly).Less commonly, 17q12 duplications have been associated with abnormalities of the eyes, heart, kidneys, and brain. Some individuals with this chromosomal change have subtle differences in facial features, although these are not consistent."
19p13.13 deletion syndrome,"19p13.13 deletion syndrome is a condition that results from a chromosomal change in which a small piece of chromosome 19 is deleted in each cell. The deletion occurs on the short (p) arm of the chromosome at a position designated p13.13.Features commonly associated with this chromosomal change include an unusually large head size (macrocephaly), tall stature, and intellectual disability that is usually moderate in severity. Many affected individuals have significantly delayed development, including speech, and children may speak few or no words. Weak muscle tone (hypotonia) and problems with coordinating muscle movement (ataxia) contribute to delays in gross motor skills (such as sitting and walking) and fine motor skills (such as holding a pencil).Other signs and symptoms that can occur with 19p13.13 deletion syndrome include seizures, abnormalities of brain structure, and mild differences in facial features (such as a prominent forehead). Many affected individuals have problems with feeding and digestion, including constipation, diarrhea, vomiting, and abdominal pain. Eye problems that can impair vision are also common. These include eyes that do not point in the same direction (strabismus) and underdevelopment of the optic nerves, which carry visual information from the eyes to the brain.The signs and symptoms of 19p13.13 deletion syndrome vary among affected individuals. In part, this variation occurs because the size of the deletion, and the number of genes it affects, varies from person to person."
1p36 deletion syndrome,"1p36 deletion syndrome is a disorder that typically causes severe intellectual disability. Most affected individuals do not speak, or speak only a few words. They may have temper tantrums, bite themselves, or exhibit other behavior problems. Most have structural abnormalities of the brain, and seizures occur in more than half of individuals with this disorder. Affected individuals usually have weak muscle tone (hypotonia) and swallowing difficulties (dysphagia).People with 1p36 deletion syndrome have a small head that is also unusually short and wide in proportion to its size (microbrachycephaly). Affected individuals also have distinctive facial features including deep-set eyes with straight eyebrows; a sunken appearance of the middle of the face (midface hypoplasia); a broad, flat nose; a long area between the nose and mouth (philtrum); a pointed chin; and ears that are low-set, rotated backwards, and abnormally shaped.People with 1p36 deletion syndrome may have vision or hearing problems. Some have abnormalities of the skeleton, heart, gastrointestinal system, kidneys, or genitalia."
1q21.1 microdeletion,"1q21.1 microdeletion is a chromosomal change in which a small piece of chromosome 1 is deleted in each cell. The deletion occurs on the long (q) arm of the chromosome in a region designated q21.1. This chromosomal change increases the risk of delayed development, intellectual disability, physical abnormalities, and neurological and psychiatric problems. However, some people with a 1q21.1 microdeletion do not appear to have any associated features.About 75 percent of all children with a 1q21.1 microdeletion have delayed development, particularly affecting the development of motor skills such as sitting, standing, and walking. The intellectual disability and learning problems associated with this genetic change are usually mild.Distinctive facial features can also be associated with 1q21.1 microdeletions. The changes are usually subtle and can include a prominent forehead; a large, rounded nasal tip; a long space between the nose and upper lip (philtrum); and a high, arched roof of the mouth (palate). Other common signs and symptoms of 1q21.1 microdeletions include an unusually small head (microcephaly), short stature, and eye problems such as clouding of the lenses (cataracts). Less frequently, 1q21.1 microdeletions are associated with heart defects, abnormalities of the genitalia or urinary system, bone abnormalities (particularly in the hands and feet), and hearing loss.Neurological problems that have been reported in people with a 1q21.1 microdeletion include seizures and weak muscle tone (hypotonia). Psychiatric or behavioral problems affect a small percentage of people with this genetic change. These include developmental conditions called autism spectrum disorders that affect communication and social interaction, attention-deficit/hyperactivity disorder (ADHD), and sleep disturbances. Studies suggest that deletions of genetic material from the 1q21.1 region may also be risk factors for schizophrenia.Some people with a 1q21.1 microdeletion do not have any of the intellectual, physical, or psychiatric features described above. In these individuals, the microdeletion is often detected when they undergo genetic testing because they have a relative with the chromosomal change. It is unknown why 1q21.1 microdeletions cause cognitive and physical changes in some individuals but few or no health problems in others, even within the same family."
1q21.1 microduplication,"1q21.1 microduplication is a chromosomal change in which a small amount of genetic material on chromosome 1 is abnormally copied (duplicated). The duplication occurs on the long (q) arm of the chromosome at a location designated q21.1.Some people with a 1q21.1 microduplication have developmental delay and intellectual disability that is typically mild to moderate. Individuals with this condition can also have features of autism spectrum disorder. These disorders are characterized by impaired communication and socialization skills, as well as delayed development of speech and language. Expressive language skills (vocabulary and the production of speech) tend to be more impaired than receptive language skills (the ability to understand speech) in affected individuals. In childhood, 1q21.1 microduplications may also be associated with an increased risk of attention-deficit/hyperactivity disorder (ADHD) and other behavioral problems. Psychiatric disorders such as schizophrenia or mood disorders such as anxiety or depression occur in some affected individuals, usually during adulthood. Rarely, recurrent seizures (epilepsy) occur in people with a 1q21.1 microduplication.Some individuals with a 1q21.1 microduplication are born with malformations of the heart, including a particular combination of heart defects known as tetralogy of Fallot. Less commonly, other physical malformations such as the urethra opening on the underside of the penis (hypospadias) in males, inward- and upward-turning feet (clubfeet), or misalignment of the hip joint (hip dysplasia) are present at birth. Individuals with a 1q21.1 microduplication may also have a larger than average head size or taller than average adult stature. Some have slightly unusual facial features such as wide-set eyes or low-set ears. As adults, individuals with a 1q21.1 microduplication may be prone to develop cysts, swollen and knotted (varicose) veins, or carpal tunnel syndrome, which is characterized by numbness, tingling, and weakness in the hands and fingers. However, there is no particular pattern of physical abnormalities that characterizes 1q21.1 microduplications. Signs and symptoms related to the chromosomal change vary even among affected members of the same family. Some people with the duplication have no identified physical, intellectual, or behavioral abnormalities."
2-hydroxyglutaric aciduria,"2-hydroxyglutaric aciduria is a condition that causes progressive damage to the brain. The major types of this disorder are called D-2-hydroxyglutaric aciduria (D-2-HGA), L-2-hydroxyglutaric aciduria (L-2-HGA), and combined D,L-2-hydroxyglutaric aciduria (D,L-2-HGA).The main features of D-2-HGA are delayed development, seizures, weak muscle tone (hypotonia), and abnormalities in the largest part of the brain (the cerebrum), which controls many important functions such as muscle movement, speech, vision, thinking, emotion, and memory. Researchers have described two subtypes of D-2-HGA, type I and type II. The two subtypes are distinguished by their genetic cause and pattern of inheritance, although they also have some differences in signs and symptoms. Type II tends to begin earlier and often causes more severe health problems than type I. Type II may also be associated with a weakened and enlarged heart (cardiomyopathy), a feature that is typically not found with type I.L-2-HGA particularly affects a region of the brain called the cerebellum, which is involved in coordinating movements. As a result, many affected individuals have problems with balance and muscle coordination (ataxia). Additional features of L-2-HGA can include delayed development, seizures, speech difficulties, and an unusually large head (macrocephaly). Typically, signs and symptoms of this disorder begin during infancy or early childhood. The disorder worsens over time, usually leading to severe disability by early adulthood.Combined D,L-2-HGA causes severe brain abnormalities that become apparent in early infancy. Affected infants have severe seizures, weak muscle tone (hypotonia), and breathing and feeding problems. They usually survive only into infancy or early childhood."
21-hydroxylase deficiency,"21-hydroxylase deficiency is an inherited disorder that affects the adrenal glands. The adrenal glands are located on top of the kidneys and produce a variety of hormones that regulate many essential functions in the body. In people with 21-hydroxylase deficiency, the adrenal glands produce excess androgens, which are male sex hormones.There are three types of 21-hydroxylase deficiency. Two types are classic forms, known as the salt-wasting and simple virilizing types. The third type is called the non-classic type. The salt-wasting type is the most severe, the simple virilizing type is less severe, and the non-classic type is the least severe form.Males and females with either classic form of 21-hydroxylase deficiency tend to have an early growth spurt, but their final adult height is usually shorter than others in their family. Additionally, affected individuals may have a reduced ability to have biological children (decreased fertility). Females may also develop excessive body hair growth (hirsutism), male pattern baldness, and irregular menstruation.Approximately 75 percent of individuals with classic 21-hydroxylase deficiency have the salt-wasting type. Hormone production is extremely low in this form of the disorder. Affected individuals lose large amounts of sodium in their urine, which can be life-threatening in early infancy. Babies with the salt-wasting type can experience poor feeding, weight loss, dehydration, and vomiting. Individuals with the simple virilizing form do not experience salt loss.In both the salt-wasting and simple virilizing forms of this disorder, females typically have external genitalia that do not look clearly male or female (ambiguous genitalia). Males usually have normal genitalia, but the testes may be small.Females with the non-classic type of 21-hydroxylase deficiency have normal female genitalia. As affected females get older, they may experience hirsutism, male pattern baldness, irregular menstruation, and decreased fertility. Males with the non-classic type may have early beard growth and small testes. Some individuals with this type of 21-hydroxylase deficiency have no symptoms of the disorder."
22q11.2 deletion syndrome,"22q11.2 deletion syndrome (which is also known by several other names, listed below) is a disorder caused by the deletion of a small piece of chromosome 22.  The deletion occurs near the middle of the chromosome at a location designated q11.2.22q11.2 deletion syndrome has many possible signs and symptoms that can affect almost any part of the body. The features of this syndrome vary widely, even among affected members of the same family. People with 22q11.2 deletion syndrome commonly have heart abnormalities that are often present from birth, recurrent infections caused by problems with the immune system, and distinctive facial features. In affected individuals, the muscles that form the roof of the mouth (palate) may not close completely, even though the tissue covering them does, resulting in a condition called submucosal cleft palate. The abnormal palate is often highly arched and there may be a split in the soft flap of tissue that hangs from the back of the mouth (bifid uvula). Submucosal cleft palate can also interfere with normal speech by causing air to come out of the nose during speech, leading to nasal-sounding speech. Affected individuals may also have breathing problems, kidney abnormalities, low levels of calcium in the blood (which can result in seizures), a decrease in blood platelets (thrombocytopenia), significant feeding difficulties, gastrointestinal problems, and hearing loss. Skeletal differences are possible, including mild short stature and, less frequently, abnormalities of the spinal bones.Many children with 22q11.2 deletion syndrome have developmental delays, including delayed growth and speech development, and some have mild intellectual disability or learning disabilities. Older affected individuals have difficulty reading, performing tasks involving math, and problem solving. Children with this condition often need help changing and adapting their behaviors when responding to situations. Additionally, affected children are more likely than children without 22q11.2 deletion syndrome to have attention-deficit/hyperactivity disorder (ADHD) and developmental conditions such as autism spectrum disorder that affect communication and social interaction.Because the signs and symptoms of 22q11.2 deletion syndrome are so varied, different groupings of features were once described as separate conditions.  Doctors named these conditions DiGeorge syndrome, velocardiofacial syndrome (also called Shprintzen syndrome), and conotruncal anomaly face syndrome. In addition, some children with the 22q11.2 deletion were diagnosed with the autosomal dominant form of Opitz G/BBB syndrome and Cayler cardiofacial syndrome. Once the genetic basis for these disorders was identified, doctors determined that they were all part of a single syndrome with many possible signs and symptoms. To avoid confusion, this condition is usually called 22q11.2 deletion syndrome, a description based on its underlying genetic cause."
22q11.2 duplication,"22q11.2 duplication is a condition caused by an extra copy of a small piece of chromosome 22. The duplication occurs near the middle of the chromosome at a location designated q11.2.The features of this condition vary widely, even among members of the same family. Affected individuals may have developmental delay, intellectual disability, slow growth leading to short stature, and weak muscle tone (hypotonia). Many people with the duplication have no apparent physical or intellectual disabilities."
22q13.3 deletion syndrome,"22q13.3 deletion syndrome, which is also known as Phelan-McDermid syndrome, is a disorder caused by the loss of a small piece of chromosome 22. The deletion occurs near the end of the chromosome at a location designated q13.3.The features of 22q13.3 deletion syndrome vary widely and involve many parts of the body. Characteristic signs and symptoms include developmental delay, moderate to profound intellectual disability, decreased muscle tone (hypotonia), and absent or delayed speech. Some people with this condition have autism spectrum disorder or autistic-like characteristics that affects communication and social interaction, such as poor eye contact, sensitivity to touch, and aggression. They may also chew on non-food items such as clothing. Less frequently, people with this condition have seizures or lose skills they had already acquired (developmental regression).Individuals with 22q13.3 deletion syndrome tend to have a decreased sensitivity to pain. Many also have a reduced ability to sweat, which can lead to a greater risk of overheating and dehydration. Some people with this condition have episodes of frequent vomiting and nausea (cyclic vomiting) and backflow of stomach acids into the esophagus (gastroesophageal reflux).People with 22q13.3 deletion syndrome typically have distinctive facial features, including a long, narrow head; prominent ears; a pointed chin; droopy eyelids (ptosis); and deep-set eyes. Other physical features seen with this condition include large and fleshy hands and/or feet, a fusion of the second and third toes (syndactyly), and small or abnormal toenails. Some affected individuals have rapid (accelerated) growth."
2q37 deletion syndrome,"2q37 deletion syndrome is a condition that can affect many parts of the body. Most babies with 2q37 deletion syndrome are born with weak muscle tone (hypotonia), which usually improves with age. Other neurological abnormalities that are common in affected individuals include mild to severe intellectual disability; delayed development of motor skills, such as sitting and walking; and behavioral problems. About 25 percent of people with this condition have autism spectrum disorder, a developmental condition that affects communication and social interaction.Unusual physical features are also common in people with 2q37 deletion syndrome. About half of affected individuals have unusually short fingers and toes (brachydactyly), often with abnormally short fourth toes that may overlap the other toes. Additional features of this condition may include short stature, obesity, or sparse hair. Many people with 2q37 deletion syndrome have characteristic facial features that can include a prominent forehead, a low frontal hairline, thin eyelids, skin folds covering the inner corner of the eyes (epicanthal folds), outside corners of the eyes that point upward (upslanting palpebral fissures), a small nose, a small mouth with thin lips, a smooth space between the upper lip and nose (smooth philtrum), prominent cheekbones, a large chin, and minor ear abnormalities.Other features of 2q37 deletion syndrome can include seizures and an inflammatory skin disorder called eczema. Some affected individuals have malformations of the brain, heart, gastrointestinal system, kidneys, or genitalia. A few people with 2q37 deletion syndrome develop a rare form of kidney cancer called Wilms tumor."
3-M syndrome,"3-M syndrome is a disorder that causes skeletal abnormalities including short stature (dwarfism) and unusual facial features. The name of this condition comes from the initials of three researchers who first identified it: Miller, McKusick, and Malvaux.Individuals with 3-M syndrome grow extremely slowly before birth, and this slow growth continues throughout childhood and adolescence. They have low birth weight and length and remain much smaller than others in their family, growing to an adult height of approximately 4 feet to 4 feet 6 inches (120 centimeters to 130 centimeters). In some affected individuals, the head is normal-sized but looks disproportionately large in comparison with the body. In other people with this disorder, the head has an unusually long and narrow shape (dolichocephaly). Intelligence is unaffected by 3-M syndrome, and life expectancy is generally normal.In addition to short stature, people with 3-M syndrome have a triangle-shaped face with a broad, prominent forehead (frontal bossing) and a pointed chin; the middle of the face is less prominent (hypoplastic midface). Other common features include large ears, full eyebrows, an upturned nose with a fleshy tip, a long area between the nose and mouth (philtrum), a prominent mouth, and full lips.Other skeletal abnormalities that often occur in this disorder include a short, broad neck and chest; prominent shoulder blades; and shoulders that slope less than usual (square shoulders). Affected individuals may have abnormal spinal curvature such as a rounded upper back that also curves to the side (kyphoscoliosis) or exaggerated curvature of the lower back (hyperlordosis). People with 3-M syndrome can also have unusual curving of the fingers (clinodactyly), short fifth (pinky) fingers, prominent heels, and loose joints. Additional skeletal abnormalities, such as unusually slender long bones in the arms and legs; tall, narrow spinal bones (vertebrae); or slightly delayed bone age may be apparent in x-ray images.A variant of 3-M syndrome called Yakut short stature syndrome has been identified in the isolated Yakut population in the Russian province of Siberia. In addition to having most of the physical features characteristic of 3-M syndrome, people with this form of the disorder are often born with breathing problems that can be life-threatening in infancy."
